iter	Passed	Remaining
0	6	18909
1	11	17288
2	15	15667
3	19	14974
4	24	14890
5	29	14789
6	34	14707
7	39	14882
8	45	15092
9	50	14996
10	54	14883
11	60	15081
12	65	14984
13	69	14923
14	74	14895
15	79	14892
16	84	14790
17	89	14764
18	94	14835
19	100	14920
20	105	15009
21	110	15014
22	116	15087
23	120	14997
24	125	14963
25	130	14877
26	134	14860
27	140	14880
28	144	14833
29	149	14796
30	154	14754
31	158	14731
32	163	14683
33	167	14639
34	172	14587
35	176	14535
36	181	14502
37	185	14456
38	189	14410
39	194	14384
40	199	14366
41	203	14321
42	207	14285
43	212	14256
44	216	14208
45	221	14196
46	225	14163
47	229	14143
48	234	14121
49	239	14112
50	243	14095
51	248	14083
52	252	14061
53	257	14045
54	261	14021
55	266	14002
56	270	13988
57	275	13969
58	279	13948
59	284	13933
60	289	13938
61	294	13934
62	298	13924
63	303	13923
64	308	13910
65	312	13900
66	317	13885
67	323	13953
68	328	13949
69	333	13979
70	340	14044
71	348	14170
72	355	14238
73	359	14226
74	366	14312
75	373	14381
76	380	14426
77	386	14475
78	394	14587
79	399	14570
80	403	14551
81	408	14551
82	413	14530
83	417	14506
84	422	14494
85	426	14464
86	431	14455
87	436	14433
88	441	14426
89	445	14415
90	450	14398
91	455	14410
92	460	14383
93	464	14360
94	468	14332
95	474	14343
96	479	14346
97	483	14318
98	488	14320
99	493	14311
100	497	14287
101	502	14275
102	507	14279
103	512	14265
104	516	14238
105	521	14230
106	525	14218
107	530	14194
108	534	14182
109	540	14195
110	544	14176
111	548	14154
112	553	14134
113	558	14146
114	563	14140
115	568	14133
116	574	14154
117	579	14158
118	584	14158
119	589	14152
120	593	14130
121	598	14125
122	603	14111
123	607	14101
124	612	14087
125	616	14073
126	621	14056
127	625	14029
128	629	14012
129	633	13991
130	638	13985
131	643	13974
132	647	13962
133	652	13950
134	656	13930
135	660	13910
136	664	13892
137	668	13872
138	672	13848
139	677	13842
140	682	13830
141	686	13821
142	690	13799
143	694	13777
144	699	13772
145	703	13758
146	707	13736
147	712	13724
148	716	13715
149	721	13699
150	725	13686
151	729	13675
152	734	13664
153	738	13652
154	743	13638
155	747	13620
156	751	13606
157	755	13596
158	760	13583
159	764	13567
160	769	13564
161	773	13550
162	777	13533
163	781	13517
164	786	13521
165	791	13508
166	795	13493
167	799	13483
168	804	13481
169	810	13484
170	814	13480
171	819	13476
172	824	13472
173	829	13470
174	833	13459
175	838	13447
176	842	13436
177	847	13431
178	851	13421
179	856	13413
180	860	13398
181	864	13383
182	868	13370
183	872	13351
184	876	13343
185	880	13328
186	885	13320
187	890	13323
188	894	13310
189	899	13301
190	904	13295
191	908	13289
192	913	13283
193	918	13282
194	922	13268
195	926	13260
196	932	13263
197	937	13265
198	943	13277
199	948	13282
200	954	13295
201	959	13295
202	965	13303
203	970	13297
204	975	13304
205	981	13306
206	989	13344
207	994	13342
208	998	13340
209	1003	13336
210	1008	13324
211	1012	13316
212	1017	13310
213	1022	13310
214	1027	13307
215	1031	13290
216	1036	13290
217	1040	13276
218	1044	13267
219	1049	13262
220	1054	13256
221	1058	13250
222	1063	13240
223	1067	13230
224	1071	13220
225	1075	13205
226	1080	13199
227	1085	13192
228	1089	13185
229	1094	13176
230	1098	13162
231	1102	13154
232	1106	13139
233	1111	13135
234	1115	13122
235	1119	13114
236	1124	13104
237	1128	13095
238	1133	13090
239	1138	13087
240	1141	13071
241	1145	13060
242	1151	13059
243	1155	13048
244	1159	13041
245	1164	13034
246	1169	13033
