TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION
woodlands,205,marsiling drive,730205,1.444946,103.773484,14,north coast,woodlands,north region
clementi,506,west coast drive,120506,1.312517,103.760867,12,clementi central,clementi,west region
sengkang,267B,compassvale link,542267,1.3832,103.897433,17,compassvale,sengkang,north-east region
woodlands,521,woodlands drive 14,730521,1.433716,103.793326,12,woodlands south,woodlands,north region
pasir ris,531,pasir ris drive 1,510531,1.371362,103.950398,8,pasir ris central,pasir ris,east region
tampines,848,tampines street 82,520848,1.352476,103.936057,12,tampines west,tampines,east region
pasir ris,425,pasir ris drive 6,510425,1.36957,103.954864,11,pasir ris drive,pasir ris,east region
punggol,622A,punggol central,821622,1.399928,103.911047,18,waterway east,punggol,north-east region
tampines,498M,tampines street 45,529498,1.36189,103.957741,10,tampines east,tampines,east region
geylang,36,eunos crescent,400036,1.321172,103.901773,19,geylang east,geylang,central region
central area,636,veerasamy road,200636,1.306307,103.855387,8,little india,rochor,central region
geylang,9,pine close,390009,1.309469,103.882438,12,aljunied,geylang,central region
tampines,444,tampines street 42,520444,1.358341,103.95138,12,tampines east,tampines,east region
bedok,623,bedok reservoir road,470623,1.333658,103.916805,12,kaki bukit,bedok,east region
bukit timah,9,toh yi drive,590009,1.338305,103.773542,13,anak bukit,bukit timah,central region
jurong east,49,teban gardens road,600049,1.320989,103.738181,4,teban gardens,jurong east,west region
bishan,214,bishan street 23,570214,1.357512,103.848303,11,marymount,bishan,central region
toa payoh,257,kim keat avenue,310257,1.332607,103.857271,13,kim keat,toa payoh,central region
sengkang,158B,rivervale crescent,542158,1.388413,103.906676,18,rivervale,sengkang,north-east region
toa payoh,105,potong pasir avenue 1,350105,1.334424,103.868697,16,potong pasir,toa payoh,central region
jurong east,250,jurong east street 24,600250,1.342653,103.739977,12,yuhua east,jurong east,west region
jurong west,902,jurong west street 91,640902,1.339116,103.68661,13,yunnan,jurong west,west region
clementi,111,clementi street 13,120111,1.323216,103.771126,13,sunset way,clementi,west region
tampines,820,tampines street 81,520820,1.34793,103.93612,4,tampines west,tampines,east region
sengkang,302B,anchorvale link,542302,1.387862,103.890705,15,anchorvale,sengkang,north-east region
choa chu kang,123,teck whye lane,680123,1.379196,103.749458,11,teck whye,choa chu kang,west region
serangoon,550,serangoon north avenue 3,550550,1.37271,103.870605,16,serangoon north,serangoon,north-east region
sembawang,591A,montreal link,751591,1.450756,103.826237,15,admiralty,sembawang,north region
hougang,374,hougang street 31,530374,1.362869,103.889828,18,lorong ah soo,hougang,north-east region
hougang,451,hougang avenue 10,530451,1.378837,103.895916,13,hougang east,hougang,north-east region
bishan,238,bishan street 22,570238,1.359761,103.844643,13,marymount,bishan,central region
bukit merah,4,delta avenue,161004,1.291829,103.826546,16,bukit ho swee,bukit merah,central region
bedok,638,bedok reservoir road,410638,1.331445,103.904435,15,kaki bukit,bedok,east region
sengkang,275A,compassvale link,541275,1.382874,103.894604,15,compassvale,sengkang,north-east region
jurong east,103,jurong east street 13,600103,1.336687,103.738059,25,yuhua east,jurong east,west region
bishan,291,bishan street 24,570291,1.35591,103.845158,30,marymount,bishan,central region
tampines,334,tampines street 32,520334,1.35239,103.961042,10,tampines east,tampines,east region
punggol,305D,punggol drive,824305,1.405832,103.906791,16,punggol town centre,punggol,north-east region
clementi,376,clementi avenue 4,120376,1.3181,103.766693,12,clementi north,clementi,west region
toa payoh,261,toa payoh east,310261,1.333504,103.855238,36,boon teck,toa payoh,central region
