NAME,ADDRESS,TYPE,OWNER,NUMBER_OF_STALLS,LATITUDE,LONGITUDE
Adam Road Food Centre,"2, Adam Road, S(289876)",HC,Government,32,1.32416,103.814166
Amoy Street Food Centre,"National Development Building, Annex B, Telok Ayer Street, S(069111)",HC,Government,135,1.281278,103.847032
Bedok Food Centre,"1, Bedok Road, S(469572)",HC,Government,32,1.32035,103.955478
Beo Crescent Market,"38A, Beo Crescent, S(169982)",MHC,Government,94,1.288831,103.827354
Berseh Food Centre,"166, Jalan Besar, S(208877)",HC,Government,66,1.307344,103.856889
Bukit Timah Market,"51, Upper Bukit Timah Road, S(588215)",MHC,Government,179,1.339237,103.77633
Chomp Chomp Food Centre,"20, Kensington Park Road, S(557269)",HC,Government,36,1.364233,103.866527
Commonwealth Crescent Market,"31, Commonwealth Crescent, S(149644)",MHC,Government,102,1.3069,103.800367
Dunman Food Centre,"271, Onan Road, S(424768)",HC,Government,30,1.309418,103.901825
East Coast Lagoon Food Village,"1220, East Coast Parkway, S(468960)",HC,Government,63,1.307261,103.9348
Geylang Serai Market,"Geylang Serai, S(402001)",MHC,Government,365,1.316725,103.897977
Golden Mile Food Centre,"505, Beach Road, S(199583)",MHC,Government,223,1.303142,103.863878
Holland Village Market & Food Centre,"1, Lorong Mambong, S(277700)",MHC,Government,69,1.311073,103.794876
Kallang Estate Market,"17, Old Airport Road, S(397972)",MHC,Government,94,1.307344,103.884018
Market Street Food Centre,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",HC,Government,76,1.349657,103.718444
Maxwell Food Centre,"1, Kadayanallur Street, S(069184)",HC,Government,103,1.280331,103.844747
Newton Food Centre,"500, Clemenceau Ave North, S(229495)",HC,Government,83,1.311916,103.83957
North Bridge Road Market & Food Centre,"861, North Bridge Road, S(198783)",MHC,Government,119,1.305634,103.863909
Pasir Panjang Food Centre,"121, Pasir Panjang Road, S(118543)",HC,Government,45,1.275699,103.79162
Serangoon Garden Market,"49A, Serangoon Garden Way, S(555945)",MHC,Government,82,1.362737,103.866162
Sembawang Hill Food Centre,"590, Upper Thomson Road, S(574419)",HC,Government,36,1.372319,103.829018
Taman Jurong Market & Food Centre,"3, Yung Sheng Road, S(618499)",MHC,Government,180,1.334721,103.721584
Tanglin Halt Market,"48A, Tanglin Halt Road, S(148813)",MHC,Government,117,1.300544,103.797738
Tiong Bahru Market,"30, Seng Poh Road, S(168898)",MHC,Government,342,1.284951,103.83267
Zion Riverside Food Centre,"70, Zion Road, S(247792)",HC,Government,32,1.292311,103.830973
ABC Brickworks Market & Food Centre,"Blk 6, Jalan Bukit Merah, S(150006)",MHC,HDB,144,1.286883,103.808131
Albert Centre Market & Food Centre,"Blk 270, Queen Street, S(180270)",MHC,HDB,234,1.301102,103.854116
Alexandra Village Food Centre,"Blk 120, Bukit Merah Lane, S(150120)",HC,HDB,88,1.286306,103.804493
Blk 1 Jalan Kukoh,"Blk 1, Jalan Kukoh, S(161001)",HC,HDB,21,1.288231,103.839934
Blk 105 Hougang Ave 1,"Blk 105, Hougang Ave 1, S(530105)",MHC,HDB,171,1.354083,103.89013
Blk 11 Telok Blangah Crescent,"Blk 11, Telok Blangah Crescent, S(090011)",MHC,HDB,133,1.277368,103.818652
Blk 112 Jalan Bukit Merah,"Blk 112, Jalan Bukit Merah, S(160112)",MHC,HDB,80,1.280005,103.826013
Blk 115 Bukit Merah View,"Blk 115, Bukit Merah View, S(151115)",MHC,HDB,182,1.285504,103.821823
Blk 117 Aljunied Ave 2,"Blk 117, Aljunied Ave 2, S(380117)",MHC,HDB,161,1.320646,103.887024
Blk 127 Toa Payoh Lorong 1,"Blk 127, Lorong 1 Toa Payoh, S(310127)",MHC,HDB,148,1.338104,103.844733
Blk 137 Tampines Street 11,"Blk 137, Tampines Street 11, S(521137)",MHC,HDB,144,1.345373,103.944629
Blk 159 Mei Chin Road,"Blk 159, Mei Chin Road, S(140159)",MHC,HDB,113,1.293236,103.802904
Blk 16 Bedok South Road,"Blk 16, Bedok South Road, S(460016)",MHC,HDB,194,1.320552,103.935539
