CODE,NAME,STATUS,LATITUDE,LONGITUDE,SUBZONE,PLANNING_AREA,REGION
NS10,Admiralty MRT station,open,1.440689,103.800933,woodlands east,woodlands,north region
EW9,Aljunied MRT station,open,1.316442,103.882981,aljunied,geylang,central region
NS16,Ang Mo Kio MRT station,open,1.370017,103.84945,cheng san,ang mo kio,north-east region
CR11,Ang Mo Kio MRT station,planned,1.370017,103.84945,cheng san,ang mo kio,north-east region
CR2,Aviation Park MRT station,planned,1.37,104.003056,changi airport,changi,east region
JS7,Bahar Junction MRT station,planned,1.345422,103.702542,jurong west central,jurong west,west region
CC12,Bartley MRT station,open,1.342778,103.879722,bidadari,toa payoh,central region
CC34,Bayfront MRT station,open,1.2825,103.859444,bayfront subzone,downtown core,central region
DT16,Bayfront MRT station,open,1.2825,103.859444,bayfront subzone,downtown core,central region
TE29,Bayshore MRT station,open,1.314722,103.943611,bayshore,bedok,east region
DT5,Beauty World MRT station,open,1.341111,103.775833,anak bukit,bukit timah,central region
EW5,Bedok MRT station,open,1.324039,103.930036,bedok north,bedok,east region
DT29,Bedok North MRT station,open,1.336389,103.917778,kaki bukit,bedok,east region
DT30,Bedok Reservoir MRT station,open,1.336389,103.933056,bedok reservoir,bedok,east region
TE30,Bedok South MRT station,planned,1.316667,103.948333,bayshore,bedok,east region
DT21,Bencoolen MRT station,open,1.298889,103.850278,bencoolen,rochor,central region
DT23,Bendemeer MRT station,open,1.313611,103.863056,kallang bahru,kallang,central region
NS17,Bishan MRT station,open,1.351111,103.848333,bishan east,bishan,central region
CC15,Bishan MRT station,open,1.351111,103.848333,bishan east,bishan,central region
NE9,Boon Keng MRT station,open,1.319444,103.861667,bendemeer,kallang,central region
EW27,Boon Lay MRT station,open,1.338611,103.705833,jurong west central,jurong west,west region
JS8,Boon Lay MRT station,planned,1.338611,103.705833,jurong west central,jurong west,west region
CC19,Botanic Gardens MRT station,open,1.3225,103.815278,tyersall,tanglin,central region
DT9,Botanic Gardens MRT station,open,1.3225,103.815278,tyersall,tanglin,central region
NS18,Braddell MRT station,open,1.340339,103.846725,toa payoh west,toa payoh,central region
CC2,Bras Basah MRT station,open,1.296944,103.850556,bras basah,museum,central region
NS3A,Brickland MRT station,planned,1.368611,103.749444,gombak,bukit batok,west region
TE7,Bright Hill MRT station,open,1.363889,103.834722,upper thomson,bishan,central region
CR13,Bright Hill MRT station,planned,1.363889,103.834722,upper thomson,bishan,central region
NE15,Buangkok MRT station,open,1.382778,103.893056,compassvale,sengkang,north-east region
EW12,Bugis MRT station,open,1.300278,103.856111,bugis,downtown core,central region
DT14,Bugis MRT station,open,1.300278,103.856111,bugis,downtown core,central region
NS2,Bukit Batok MRT station,open,1.349167,103.749722,bukit batok central,bukit batok,west region
JE3,Bukit Batok West MRT station,planned,1.345556,103.739722,bukit batok west,bukit batok,west region
CC18,Bukit Brown MRT station,planned,1.333611,103.83,mount pleasant,novena,central region
NS3,Bukit Gombak MRT station,open,1.358611,103.751667,guilin,bukit batok,west region
DT1,Bukit Panjang MRT/LRT station,open,1.378333,103.761667,gombak,bukit batok,west region
BP6,Bukit Panjang MRT/LRT station,open,1.378333,103.761667,gombak,bukit batok,west region
EW21,Buona Vista MRT station,open,1.306944,103.790556,one north,queenstown,central region
CC22,Buona Vista MRT station,open,1.306944,103.790556,one north,queenstown,central region
CC17,Caldecott MRT station,open,1.337778,103.839444,toa payoh west,toa payoh,central region
TE9,Caldecott MRT station,open,1.337778,103.839444,toa payoh west,toa payoh,central region
NS12,Canberra MRT station,open,1.443056,103.829722,sembawang springs,sembawang,north region
CC31,Cantonment MRT station,planned,1.272778,103.836667,everton park,bukit merah,central region
DT2,Cashew MRT station,open,1.368889,103.764722,gombak,bukit batok,west region
CG2,Changi Airport MRT station,open,1.3575,103.988333,changi airport,changi,east region
TE3x,Changi Airport Terminal 5 MRT station,planned,1.339722,104.01,changi airport,changi,east region
CR1,Changi Airport Terminal 5 MRT station,planned,1.339722,104.01,changi airport,changi,east region
NE4,Chinatown MRT station,open,1.285,103.843889,pearl's hill,outram,central region
DT19,Chinatown MRT station,open,1.285,103.843889,pearl's hill,outram,central region
EW25,Chinese Garden MRT station,open,1.3425,103.7325,lakeside (leisure),jurong east,west region
NS4,Choa Chu Kang MRT/LRT station,open,1.385,103.744444,choa chu kang central,choa chu kang,west region
JS1,Choa Chu Kang MRT/LRT station,planned,1.385,103.744444,choa chu kang central,choa chu kang,west region
BP1,Choa Chu Kang MRT/LRT station,open,1.385,103.744444,choa chu kang central,choa chu kang,west region
JS2,Choa Chu Kang West MRT station,planned,1.378889,103.739444,peng siang,choa chu kang,west region
NS25,City Hall MRT station,open,1.293333,103.852222,city hall,downtown core,central region
EW13,City Hall MRT station,open,1.293333,103.852222,city hall,downtown core,central region
NE5,Clarke Quay MRT station,open,1.288611,103.846667,clarke quay,singapore river,central region
EW23,Clementi MRT station,open,1.315303,103.765244,clementi north,clementi,west region
CR17,Clementi MRT station,planned,1.315303,103.765244,clementi north,clementi,west region
EW20,Commonwealth MRT station,open,1.302558,103.798225,commonwealth,queenstown,central region
JS5,Corporation MRT station,planned,1.353056,103.713889,wenya,jurong west,west region
CC8,Dakota MRT station,open,1.308333,103.888333,aljunied,geylang,central region
DE1,DE1 MRT station,planned,1.399722,103.7525,gali batu,sungei kadut,north region
CR7,Defu MRT station,planned,1.362222,103.898889,lorong halus,hougang,north-east region
NS24,Dhoby Ghaut MRT station,open,1.299444,103.845,dhoby ghaut,museum,central region
NE6,Dhoby Ghaut MRT station,open,1.299444,103.845,dhoby ghaut,museum,central region
CC1,Dhoby Ghaut MRT station,open,1.299444,103.845,dhoby ghaut,museum,central region
EW22,Dover MRT station,open,1.311314,103.778658,singapore polytechnic,queenstown,central region
DT17,Downtown MRT station,open,1.279444,103.853056,central subzone,downtown core,central region
CP2,Elias MRT station,planned,1.383889,103.938056,pasir ris west,pasir ris,east region
JS9,Enterprise MRT station,planned,1.332778,103.708611,chin bee,jurong west,west region
CC3,Esplanade MRT station,open,1.293333,103.855556,city hall,downtown core,central region
EW7,Eunos MRT station,open,1.319722,103.903056,geylang east,geylang,central region
CG1,Expo MRT station,open,1.335278,103.961944,xilin,tampines,east region
DT35,Expo MRT station,open,1.335278,103.961944,xilin,tampines,east region
NE8,Farrer Park MRT station,open,1.312222,103.854167,farrer park,rochor,central region
CC20,Farrer Road MRT station,open,1.317222,103.8075,tyersall,tanglin,central region
DT20,Fort Canning MRT station,open,1.292481,103.844325,clarke quay,singapore river,central region
TE22A,Founders' Memorial MRT station,planned,1.291111,103.869167,marina east,marina east,central region
TE22,Gardens by the Bay MRT station,open,1.278333,103.868056,marina south,marina south,central region
JW1,Gek Poh MRT station,planned,1.348333,103.698056,yunnan,jurong west,west region
DT24,Geylang Bahru MRT station,open,1.321389,103.871389,geylang bahru,kallang,central region
TE15,Great World MRT station,open,1.295,103.833333,institution hill,river valley,central region
EW30,Gul Circle MRT station,open,1.3212,103.6657,gul circle,pioneer,west region
NE1,HarbourFront MRT station,open,1.265278,103.822222,maritime square,bukit merah,central region
CC29,HarbourFront MRT station,open,1.265278,103.822222,maritime square,bukit merah,central region
TE16,Havelock MRT station,open,1.287778,103.833611,bukit ho swee,bukit merah,central region
CC25,Haw Par Villa MRT station,open,1.282778,103.781667,pasir panjang 1,queenstown,central region
DT3,Hillview MRT station,open,1.3625,103.7675,nature reserve,bukit panjang,west region
CC21,Holland Village MRT station,open,1.311944,103.796111,leedon park,bukit timah,central region
JS4,Hong Kah MRT station,planned,1.358056,103.725833,garden,tengah,west region
NE14,Hougang MRT station,open,1.371389,103.892222,hougang central,hougang,north-east region
CR8,Hougang MRT station,planned,1.371389,103.892222,hougang central,hougang,north-east region
DT4,Hume MRT station,open,1.354444,103.769167,hillview,bukit batok,west region
DT22,Jalan Besar MRT station,open,1.305556,103.855278,little india,rochor,central region
EW29,Joo Koon MRT station,open,1.327739,103.678486,joo koon,pioneer,west region
NS1,Jurong East MRT station,open,1.333333,103.742222,jurong gateway,jurong east,west region
EW24,Jurong East MRT station,open,1.333333,103.742222,jurong gateway,jurong east,west region
JE5,Jurong East MRT station,planned,1.333333,103.742222,jurong gateway,jurong east,west region
JS11,Jurong Hill MRT station,planned,1.318611,103.710278,liu fang,boon lay,west region
CR19,Jurong Lake District MRT station,planned,1.327222,103.739167,lakeside (business),jurong east,west region
JS12,Jurong Pier MRT station,planned,1.313056,103.710278,jurong port,jurong east,west region
JE6,Jurong Town Hall MRT station,planned,1.326111,103.746111,international business park,jurong east,west region
