NAME,STREET,POSTAL_CODE,LATITUDE,LONGITUDE,SUBZONE,PLANNING_AREA,REGION
Admiralty Primary School,woodlands circle,738907,1.442635,103.80004,woodlands east,woodlands,north region
Ahmad Ibrahim Primary School,yishun street 11,768643,1.433153,103.832942,yishun west,yishun,north region
Ai Tong School,bright hill drive,579646,1.360583,103.83302,upper thomson,bishan,central region
Alexandra Primary School,prince charles crescent,159016,1.291334,103.824425,alexandra north,bukit merah,central region
Anchor Green Primary School,anchorvale drive,544969,1.39037,103.887165,anchorvale,sengkang,north-east region
Anderson Primary School,ang mo kio avenue 9,569785,1.384264,103.841392,yio chu kang west,ang mo kio,north-east region
Ang Mo Kio Primary School,ang mo kio avenue 3,569920,1.369322,103.839631,shangri-la,ang mo kio,north-east region
Anglo-Chinese School (Junior),winstedt road,227988,1.30935,103.84095,monk's hill,newton,central region
Anglo-Chinese School (Primary),barker road,309918,1.318371,103.83561,malcolm,novena,central region
Angsana Primary School,tampines street 61,528565,1.363606,103.938941,tampines north,tampines,east region
Beacon Primary School,bukit panjang ring road,679944,1.383949,103.773632,bangkit,bukit panjang,west region
Bedok Green Primary School,bedok south avenue 2,469317,1.323446,103.937879,bedok south,bedok,east region
Bendemeer Primary School,bendemeer road,339948,1.321813,103.865404,bendemeer,kallang,central region
Blangah Rise Primary School,telok blangah heights,109100,1.27612,103.808629,telok blangah drive,bukit merah,central region
Boon Lay Garden Primary School,boon lay drive,649930,1.343179,103.713281,boon lay place,jurong west,west region
Bukit Panjang Primary School,cashew road,679676,1.373622,103.769375,jelebu,bukit panjang,west region
Bukit Timah Primary School,lorong kismis,598112,1.33775,103.766855,anak bukit,bukit timah,central region
Bukit View Primary School,bukit batok street 21,659634,1.345861,103.753666,bukit batok central,bukit batok,west region
Canberra Primary School,admiralty drive,757714,1.45125,103.815859,sembawang north,sembawang,north region
Canossa Catholic Primary School,sallim road,387621,1.326644,103.882228,macpherson,geylang,central region
Cantonment Primary School,cantonment close,88256,1.275473,103.839963,everton park,bukit merah,central region
Casuarina Primary School,pasir ris street 41,518935,1.372461,103.95702,pasir ris drive,pasir ris,east region
Catholic High School (Primary),bishan street 22,579767,1.354389,103.844211,marymount,bishan,central region
Cedar Primary School,cedar avenue,349700,1.335589,103.875621,sennett,toa payoh,central region
Changkat Primary School,simei street 3,529896,1.340232,103.95208,simei,tampines,east region
CHIJ (Katong) Primary,martia road,424821,1.306485,103.911106,frankel,bedok,east region
CHIJ (Kellock),bukit teresa road,99757,1.275023,103.828158,telok blangah rise,bukit merah,central region
