NAME,STREET,POSTAL_CODE,LATITUDE,LONGITUDE,SUBZONE,PLANNING_AREA,REGION
Admiralty Secondary School,woodlands crescent,737916,1.445891,103.802398,woodlands east,woodlands,north region
Ahmad Ibrahim Secondary School,yishun avenue 7,768928,1.43606,103.829719,yishun west,yishun,north region
Anderson Secondary School,ang mo kio street 53,569206,1.37434,103.851554,cheng san,ang mo kio,north-east region
Anglican High School,upper changi road,487012,1.331181,103.941853,bedok north,bedok,east region
Anglo-Chinese School (Barker Road),barker road,309919,1.319616,103.835773,malcolm,novena,central region
Anglo-Chinese School (Independent),dover road,139650,1.303704,103.780363,dover,queenstown,central region
Ang Mo Kio Secondary School,ang mo kio street 22,569362,1.367337,103.842155,shangri-la,ang mo kio,north-east region
Assumption English School,upper bukit timah road,678117,1.368382,103.766688,dairy farm,bukit panjang,west region
Bartley Secondary School,jalan bunga rampai,538403,1.339954,103.882806,joo seng,toa payoh,central region
Beatty Secondary School,toa payoh north,318990,1.34179,103.852281,braddell,toa payoh,central region
Bedok Green Secondary School,bedok north avenue 3,469722,1.334519,103.935028,bedok north,bedok,east region
Bedok South Secondary School,jalan langgar bedok,468585,1.325137,103.950989,bedok south,bedok,east region
Bedok View Secondary School,bedok south avenue 3,469293,1.324157,103.943776,bedok south,bedok,east region
Bendemeer Secondary School,st. wilfred road,327919,1.324259,103.860634,bendemeer,kallang,central region
Boon Lay Secondary School,jurong west street 65,648354,1.342722,103.701891,jurong west central,jurong west,west region
Bowen Secondary School,lorong napiri,547529,1.37036,103.87766,hougang west,hougang,north-east region
Broadrick Secondary School,dakota crescent,399935,1.307051,103.886918,aljunied,geylang,central region
Bukit Batok Secondary School,bukit batok west avenue 8,658962,1.348491,103.740874,bukit batok west,bukit batok,west region
Bukit Merah Secondary School,lengkok bahru,159050,1.285693,103.813439,alexandra hill,bukit merah,central region
Bukit Panjang Government High School,choa chu kang avenue 4,689809,1.382242,103.738361,peng siang,choa chu kang,west region
Bukit View Secondary School,bukit batok street 21,659633,1.345733,103.752227,bukit batok central,bukit batok,west region
Catholic High School,bishan street 22,579767,1.354723,103.844875,marymount,bishan,central region
Canberra Secondary School,sembawang drive,757699,1.453191,103.814204,sembawang north,sembawang,north region
Cedar Girls' Secondary School,cedar avenue,349692,1.333758,103.873933,sennett,toa payoh,central region
Changkat Changi Secondary School,simei street 3,529894,1.339506,103.953246,simei,tampines,east region
CHIJ Katong Convent (Secondary),marine terrace,449150,1.306851,103.918205,marine parade,marine parade,central region
CHIJ Secondary (Toa Payoh),lorong 1 toa payoh,319764,1.332461,103.843272,toa payoh central,toa payoh,central region
CHIJ St. Joseph's Convent,sengkang east way,548595,1.391752,103.902465,rivervale,sengkang,north-east region
CHIJ St. Nicholas Girls' School,ang mo kio street 13,569405,1.373477,103.834253,kebun bahru,ang mo kio,north-east region
CHIJ St. Theresa's Convent,lower delta road,099138,1.275352,103.822441,telok blangah way,bukit merah,central region
Chua Chu Kang Secondary School,teck whye crescent,688848,1.383334,103.755103,teck whye,choa chu kang,west region
Christ Church Secondary School,woodlands drive 17,737924,1.426568,103.793451,woodlands south,woodlands,north region
Chung Cheng High School (Main),goodman road,439012,1.305092,103.891653,mountbatten,marine parade,central region
Chung Cheng High School (Yishun),yishun street 61,768547,1.419226,103.837391,yishun south,yishun,north region
Clementi Town Secondary School,clementi avenue 3,129904,1.315539,103.762021,clementi central,clementi,west region
Commonwealth Secondary School,west coast road,608784,1.319204,103.745637,teban gardens,jurong east,west region
Compassvale Secondary School,compassvale crescent,545083,1.396141,103.899847,sengkang town centre,sengkang,north-east region
Crescent Girls' School,tanglin road,247961,1.293319,103.817544,alexandra north,bukit merah,central region
Damai Secondary School,bedok reservoir road,479229,1.336928,103.927092,bedok reservoir,bedok,east region
Deyi Secondary School,ang mo kio street 42,569277,1.365997,103.852546,chong boon,ang mo kio,north-east region
Dunearn Secondary School,bukit batok west avenue 2,659204,1.363579,103.744721,hong kah north,bukit batok,west region
Dunman High School,tanjong rhu road,436895,1.299962,103.882942,tanjong rhu,kallang,central region
Dunman Secondary School,tampines street 45,529093,1.360653,103.956214,tampines east,tampines,east region
East Spring Secondary School,tampines street 34,529231,1.356225,103.960641,tampines east,tampines,east region
Edgefield Secondary School,punggol field,828814,1.400593,103.902687,matilda,punggol,north-east region
Evergreen Secondary School,woodlands street 83,738489,1.441491,103.794138,midview,woodlands,north region
Fairfield Methodist Secondary School,dover road,139649,1.301634,103.7841,dover,queenstown,central region
Fuchun Secondary School,woodlands avenue 1,739062,1.430623,103.777568,woodgrove,woodlands,north region
Fuhua Secondary School,jurong west street 41,649410,1.347014,103.726521,hong kah,jurong west,west region
Gan Eng Seng School,redhill close,158901,1.285595,103.815547,redhill,bukit merah,central region
Geylang Methodist School (Secondary),geylang east central,389705,1.317649,103.882661,aljunied,geylang,central region
Greendale Secondary School,edgedale plains,828866,1.39696,103.9117,punggol field,punggol,north-east region
Greenridge Secondary School,gangsa road,678972,1.3756,103.763999,jelebu,bukit panjang,west region
Guangyang Secondary School,bishan street 12,579807,1.344409,103.850209,bishan east,bishan,central region
Hai Sing Catholic School,pasir ris street 21,518969,1.369331,103.962763,pasir ris drive,pasir ris,east region
Hillgrove Secondary School,bukit batok street 52,659250,1.352736,103.752986,guilin,bukit batok,west region
Holy Innocents' High School,upper serangoon road,534786,1.371545,103.896399,hougang east,hougang,north-east region
Hougang Secondary School,hougang street 93,534256,1.37764,103.882534,trafalgar,hougang,north-east region
Hua Yi Secondary School,jurong west street 42,649371,1.352344,103.721832,hong kah,jurong west,west region
Hwa Chong Institution,bukit timah road,269734,1.324948,103.805704,coronation road,bukit timah,central region
Junyuan Secondary School,tampines street 84,528933,1.353613,103.933886,tampines west,tampines,east region
Jurong Secondary School,yuan ching road,618652,1.33002,103.723953,taman jurong,jurong west,west region
Jurong West Secondary School,jurong west street 65,648348,1.335256,103.702099,jurong west central,jurong west,west region
Jurongville Secondary School,jurong east avenue 1,609790,1.351289,103.728908,yuhua west,jurong east,west region
Juying Secondary School,jurong west street 91,649038,1.338723,103.68731,yunnan,jurong west,west region
Kent Ridge Secondary School,west coast road,127368,1.301228,103.76489,clementi west,clementi,west region
Kranji Secondary School,choa chu kang street 51,689333,1.390051,103.741191,choa chu kang north,choa chu kang,west region
Kuo Chuan Presbyterian Secondary School,bishan street 13,579795,1.350171,103.854984,bishan east,bishan,central region
Loyang View Secondary School,pasir ris street 11,519073,1.366584,103.956945,pasir ris drive,pasir ris,east region
Manjusri Secondary School,ubi avenue 1,408940,1.327471,103.90172,kampong ubi,geylang,central region
Maris Stella High School,mount vernon road,368051,1.341388,103.877824,bidadari,toa payoh,central region
Marsiling Secondary School,marsiling road,739110,1.436644,103.776008,woodlands west,woodlands,north region
Mayflower Secondary School,ang mo kio street 21,569384,1.368273,103.835361,shangri-la,ang mo kio,north-east region
Meridian Secondary School,pasir ris street 51,518901,1.367247,103.948972,pasir ris central,pasir ris,east region
Methodist Girls' School (Secondary),lorong ah soo,536742,1.350968,103.88512,tai seng,hougang,north-east region
Montfort Secondary School,hougang avenue 8,538785,1.373961,103.888928,hougang west,hougang,north-east region
Nan Chiau High School,anchorvale link,545079,1.388796,103.890004,anchorvale,sengkang,north-east region
Nan Hua High School,clementi avenue 1,129956,1.308095,103.768561,clementi woods,clementi,west region
Nanyang Girls' High School,linden drive,288683,1.330583,103.802421,hillcrest,bukit timah,central region
National Junior College,hillcrest road,288913,1.330293,103.804111,hillcrest,bukit timah,central region
Naval Base Secondary School,yishun ring road,768689,1.419379,103.83105,khatib,yishun,north region
New Town Secondary School,dover road,139657,1.309776,103.773189,singapore polytechnic,queenstown,central region
Ngee Ann Secondary School,tampines street 32,529283,1.354475,103.956747,tampines east,tampines,east region
North Vista Secondary School,rivervale link,545081,1.381131,103.899189,rivervale,sengkang,north-east region
Northbrooks Secondary School,yishun ring road,768692,1.420813,103.845147,yishun east,yishun,north region
Northland Secondary School,yishun street 22,768578,1.435802,103.840105,northland,yishun,north region
NUS High School of Mathematics and Science,clementi avenue 1,129957,1.306007,103.770153,clementi woods,clementi,west region
Orchid Park Secondary School,yishun street 81,768454,1.41532,103.837859,yishun south,yishun,north region
Outram Secondary School,york hill,168622,1.286514,103.837127,pearl's hill,outram,central region
Pasir Ris Crest Secondary School,pasir ris street 41,518934,1.372841,103.959728,pasir ris drive,pasir ris,east region
Pasir Ris Secondary School,tampines street 21,529400,1.354227,103.948963,tampines east,tampines,east region
Paya Lebar Methodist Girls' School (Secondary),lorong ah soo,536742,1.350968,103.88512,tai seng,hougang,north-east region
Pei Hwa Secondary School,fernvale link,797702,1.390375,103.878462,fernvale,sengkang,north-east region
Peicai Secondary School,serangoon avenue 4,556094,1.359516,103.870011,serangoon garden,serangoon,north-east region
Peirce Secondary School,sin ming walk,575566,1.366659,103.830216,upper thomson,bishan,central region
Presbyterian High School,ang mo kio avenue 6,569845,1.382012,103.843149,yio chu kang west,ang mo kio,north-east region
Punggol Secondary School,edgefield plains,828870,1.402057,103.909214,waterway east,punggol,north-east region
Queenstown Secondary School,strathmore road,148800,1.293521,103.813191,margaret drive,queenstown,central region
Queensway Secondary School,margaret drive,149295,1.300223,103.802207,margaret drive,queenstown,central region
Raffles Girls' School (Secondary),braddell rise,318871,1.342175,103.843134,toa payoh west,toa payoh,central region
Raffles Institution,raffles institution lane,575954,1.346188,103.845875,marymount,bishan,central region
Regent Secondary School,choa chu kang north 5,689621,1.393279,103.751034,choa chu kang north,choa chu kang,west region
Riverside Secondary School,woodlands street 81,738524,1.441102,103.788308,midview,woodlands,north region
River Valley High School,boon lay avenue,649961,1.344078,103.709022,boon lay place,jurong west,west region
St. Andrew's Secondary School,francis thomas drive,359342,1.330694,103.866249,potong pasir,toa payoh,central region
St. Patrick's School,east coast road,429058,1.307883,103.917638,frankel,bedok,east region
"School of Science and Technology, Singapore",technology drive,138572,1.312928,103.774012,singapore polytechnic,queenstown,central region
"School of the Arts, Singapore",zubir said drive,227968,1.299717,103.849427,selegie,rochor,central region
Sembawang Secondary School,sembawang crescent,757704,1.445315,103.816843,sembawang central,sembawang,north region
Sengkang Secondary School,compassvale lane,545090,1.386521,103.898366,sengkang town centre,sengkang,north-east region
Serangoon Garden Secondary School,serangoon north avenue 1,555889,1.369326,103.86927,serangoon garden,serangoon,north-east region
Serangoon Secondary School,upper serangoon view,534237,1.374655,103.902139,kangkar,hougang,north-east region
Singapore Chinese Girls' School,nil,NIL,1.302399,103.839056,cairnhill,newton,central region
Singapore Sports School,champions way,737913,1.426411,103.789445,woodlands south,woodlands,north region
Springfield Secondary School,tampines avenue 8,529593,1.349573,103.930354,tampines west,tampines,east region
St. Anthony's Canossian Secondary School,bedok north avenue 4,469700,1.334663,103.941977,bedok north,bedok,east region
St. Gabriel's Secondary School,serangoon avenue 1,556140,1.346488,103.876094,upper paya lebar,serangoon,north-east region
St. Hilda's Secondary School,tampines street 82,528986,1.349739,103.937608,tampines west,tampines,east region
St. Margaret's Secondary School,farrer road,259240,1.320068,103.809951,farrer court,bukit timah,central region
St. Joseph's Institution,bras basah road,189555,1.297258,103.851024,bras basah,museum,central region
Swiss Cottage Secondary School,bukit batok street 34,659322,1.364717,103.750396,hong kah north,bukit batok,west region
Tampines Secondary School,tampines street 12,529427,1.349261,103.944264,tampines east,tampines,east region
Tanjong Katong Girls' School,dunman lane,439272,1.308213,103.89582,katong,marine parade,central region
Tanjong Katong Secondary School,haig road,438796,1.308735,103.897225,katong,marine parade,central region
Temasek Junior College,tampines avenue 9,529564,1.35728,103.956186,tampines east,tampines,east region
Temasek Secondary School,upper east coast road,465561,1.315917,103.947564,bayshore,bedok,east region
Unity Secondary School,choa chu kang street 62,689143,1.400015,103.746021,yew tee,choa chu kang,west region
Victoria School,siglap link,448880,1.308713,103.927981,siglap,bedok,east region
West Spring Secondary School,senja road,677737,1.387823,103.760129,senja,bukit panjang,west region
Westwood Secondary School,jurong west street 25,648350,1.353737,103.701772,wenya,jurong west,west region
Whitley Secondary School,bishan street 24,579747,1.355052,103.842552,marymount,bishan,central region
Woodgrove Secondary School,woodlands avenue 6,738990,1.428318,103.796048,woodlands south,woodlands,north region
Woodlands Ring Secondary School,woodlands avenue 1,739062,1.430705,103.777626,woodgrove,woodlands,north region
Woodlands Secondary School,marsiling road,739111,1.439125,103.774586,woodlands west,woodlands,north region
Xinmin Secondary School,hougang avenue 8,538789,1.372559,103.883052,hougang west,hougang,north-east region
Yio Chu Kang Secondary School,ang mo kio avenue 5,569868,1.377976,103.842137,yio chu kang west,ang mo kio,north-east region
Yishun Secondary School,yishun street 71,768516,1.428133,103.828764,yishun west,yishun,north region
Yishun Town Secondary School,yishun street 21,768610,1.432322,103.838094,northland,yishun,north region
Yuan Ching Secondary School,yuan ching road,618654,1.342006,103.720899,taman jurong,jurong west,west region
Yuhua Secondary School,jurong west street 41,649406,1.347186,103.722687,hong kah,jurong west,west region
Yusof Ishak Secondary School,sumang walk,828676,1.406937,103.896275,punggol town centre,punggol,north-east region
Yuying Secondary School,hougang avenue 1,538884,1.357136,103.890195,lorong ah soo,hougang,north-east region
Zhenghua Secondary School,bukit panjang ring road,679962,1.388366,103.765511,saujana,bukit panjang,west region
Zhonghua Secondary School,serangoon avenue 3,556123,1.348407,103.86943,serangoon central,serangoon,north-east region
San Yu Adventist School,thomson road,307652,1.321841,103.841043,moulmein,novena,central region
Madrasah Aljunied Al-Islamiah,victoria lane,198424,1.304626,103.857697,rochor canal,rochor,central region
Madrasah Irsyad Zuhri Al-Islamiah,braddell road,579711,1.342645,103.851908,braddell,toa payoh,central region
Madrasah Al-Arabiah Al-Islamiah,lorong 6 toa payoh,319378,1.337373,103.854707,pei chun,toa payoh,central region
Madrasah Al-Maarif Al-Islamiah,Lorong 39,387865,1.315486,103.891446,aljunied,geylang,central region
Madrasah Alsagoff Al-Arabiah,jalan sultan,199006,1.303662,103.860672,kampong glam,rochor,central region
Madrasah Wak Tanjong Al-Islamiah,sims avenue,387600,1.317131,103.891197,aljunied,geylang,central region
Crest Secondary School,jurong east street 24,609561,1.34312,103.742628,yuhua east,jurong east,west region
Spectra Secondary School,woodlands drive 64,737758,1.437038,103.8041,woodlands east,woodlands,north region
