NAME,STREET,POSTAL_CODE,LATITUDE,LONGITUDE,SUBZONE,PLANNING_AREA,REGION
Bugis Junction,victoria street,188021,1.299113,103.855411,bugis,downtown core,central region
Bugis+,north bridge road,188735,1.298141,103.855635,bugis,downtown core,central region
Capitol Piazza,stamford road,178905,1.293079,103.851262,city hall,downtown core,central region
Cathay Cineleisure Orchard,grange road,239695,1.301521,103.83643,somerset,orchard,central region
The Centrepoint,orchard road,238843,1.301978,103.839759,somerset,orchard,central region
City Square Mall,kitchener road,208539,1.311421,103.856624,lavender,kallang,central region
CityLink Mall,raffles link,39393,1.292778,103.854174,city hall,downtown core,central region
Duo,fraser street,189356,1.299534,103.858402,bugis,downtown core,central region
Far East Plaza,scotts road,228213,1.307177,103.833793,boulevard,orchard,central region
Funan,north bridge road,179105,1.291348,103.84999,city hall,downtown core,central region
Great World City,kim seng promenade,237994,1.293423,103.832022,robertson quay,singapore river,central region
HDB Hub,lorong 6 toa payoh,310500,1.332855,103.847092,toa payoh central,toa payoh,central region
Holland Road Shopping Centre,holland ave,278967,1.310371,103.795279,holland drive,queenstown,central region
ION Orchard,orchard turn,238801,1.30398,103.832032,boulevard,orchard,central region
Junction 8,bishan place,579837,1.350481,103.84876,bishan east,bishan,central region
Liat Towers,orchard road,238881,1.305087,103.830723,boulevard,orchard,central region
Lucky Plaza,orchard road,238863,1.304506,103.833962,boulevard,orchard,central region
Marina Bay Sands,bayfront ave,18956,1.283994,103.859451,bayfront subzone,downtown core,central region
Marina Bay Link Mall,marina boulevard,18984,1.280238,103.85337,central subzone,downtown core,central region
Marina Square,raffles boulevard,39595,1.291117,103.857758,marina centre,downtown core,central region
Millenia Walk,raffles boulevard,39596,1.292605,103.859725,marina centre,downtown core,central region
Mustafa Centre,syed alwi road,207704,1.310112,103.855291,lavender,kallang,central region
Ngee Ann City,orchard road,238872,1.302242,103.835182,boulevard,orchard,central region
Orchard Central,orchard road,238896,1.300839,103.839435,somerset,orchard,central region
Orchard Gateway,orchard road,238858,1.300443,103.839443,somerset,orchard,central region
Palais Renaissance,orchard road,238871,1.306655,103.829588,boulevard,orchard,central region
The Paragon,orchard road,238859,1.303872,103.835858,boulevard,orchard,central region
People's Park Centre,upper cross street,58357,1.28577,103.84398,pearl's hill,outram,central region
People's Park Complex,park road,59108,1.284134,103.84252,people's park,outram,central region
Plaza Singapura,orchard road,238839,1.300748,103.845048,dhoby ghaut,museum,central region
Raffles City,north bridge road,179103,1.293894,103.85312,city hall,downtown core,central region
Shaw House and Centre,scotts road,228208,1.306529,103.831836,boulevard,orchard,central region
Sim Lim Square,rochor canal road,188504,1.303024,103.853038,bencoolen,rochor,central region
The South Beach,beach road,189767,1.294988,103.856276,city hall,downtown core,central region
Square 2,sinaran drive,307506,1.320705,103.844161,moulmein,novena,central region
